Square,NumChecklists,NumBirdChecklists,NumBirds
3864;-12112,3.0,0.0,0
4085;-12286,1.0,1.0,1.0
3770;-11976,3.0,1.0,1.0
3533;-12084,5.0,0.0,0
3441;-11973,1.0,0.0,0
3867;-11962,6.0,0.0,0
3304;-11722,7.0,0.0,0
3568;-11822,3.0,0.0,0
3418;-11883,2.0,0.0,0
3781;-12065,2.0,0.0,0
3749;-12197,49.0,0.0,0
3744;-12188,2.0,0.0,0
3615;-11872,1.0,0.0,0
3592;-11942,12.0,0.0,0
3739;-12209,2.0,0.0,0
3670;-11886,6.0,1.0,0.0
3533;-12083,6.0,0.0,0
3935;-12381,14.0,9.0,28.0
3877;-12043,8.0,7.0,17.0
3417;-11801,5.0,2.0,2.0
3772;-12242,27.0,4.0,6.0
3733;-11960,1.0,0.0,0
3492;-11864,5.0,0.0,0
4023;-12067,1.0,0.0,0
3821;-12229,1.0,0.0,0
3688;-12178,276.0,3.0,3.0
3765;-12193,1.0,0.0,0
3756;-11995,1.0,0.0,0
3369;-11827,8.0,0.0,0
3506;-11874,1.0,0.0,0
4049;-12107,1.0,1.0,12.0
3417;-11814,1.0,0.0,0
3610;-12143,1.0,0.0,0
3592;-11856,1.0,1.0,1.0
3767;-11963,8.0,5.0,15.0
3425;-11754,1.0,0.0,0
3607;-11891,10.0,0.0,0
3945;-12161,5.0,0.0,0
3843;-12268,2.0,0.0,0
3624;-12100,1.0,0.0,0
3787;-11938,24.0,7.0,17.0
3756;-12199,1.0,0.0,0
3756;-12231,2.0,0.0,0
3488;-11867,2.0,0.0,0
3480;-11901,2.0,1.0,1.0
3818;-12067,1.0,0.0,0
4184;-12002,1.0,0.0,0
3967;-12297,4.0,2.0,5.0
3320;-11553,1.0,0.0,0
4017;-12221,1.0,0.0,0
3426;-11829,56.0,0.0,0
3287;-11724,15.0,0.0,0
3317;-11735,2.0,0.0,0
3787;-12251,4.0,0.0,0
3304;-11729,75.0,0.0,0
3755;-12228,13.0,0.0,0
3399;-11738,4.0,0.0,0
3803;-12295,4.0,0.0,0
3489;-11871,1.0,0.0,0
3420;-11910,1.0,0.0,0
3347;-11654,4.0,0.0,0
3420;-11727,1.0,0.0,0
3655;-11878,2.0,1.0,1.0
3368;-11786,1.0,0.0,0
3284;-11661,1.0,1.0,1.0
4027;-12218,26.0,0.0,0
4075;-12422,5.0,0.0,0
3892;-12000,1.0,1.0,1.0
3559;-12082,1.0,1.0,2.0
3989;-12048,9.0,5.0,10.0
3803;-12227,6.0,0.0,0
3841;-12066,3.0,1.0,2.0
3411;-11822,5.0,0.0,0
3823;-12150,1.0,0.0,0
3805;-12283,15.0,11.0,22.0
3338;-11732,9.0,0.0,0
3848;-12249,14.0,11.0,24.0
3908;-12015,1.0,1.0,2.0
3355;-11771,12.0,0.0,0
3444;-11922,9.0,0.0,0
3672;-11815,5.0,0.0,0
4035;-12401,1.0,0.0,0
3602;-12124,1.0,0.0,0
3634;-11933,21.0,0.0,0
3992;-12108,2.0,2.0,3.0
3843;-12286,1.0,0.0,0
3758;-11878,9.0,1.0,1.0
3887;-12130,1.0,0.0,0
3901;-12083,1.0,1.0,1.0
3753;-11926,1.0,1.0,3.0
3409;-11778,10.0,0.0,0
3721;-11971,31.0,1.0,1.0
3350;-11735,2.0,0.0,0
4135;-12028,8.0,8.0,43.0
3497;-12057,4.0,0.0,0
3862;-12128,21.0,0.0,0
3806;-12218,4.0,0.0,0
3536;-11907,5.0,0.0,0
3688;-12177,4.0,0.0,0
4022;-12082,2.0,0.0,0
3728;-11958,2.0,0.0,0
3815;-12292,1.0,0.0,0
3724;-11919,1.0,1.0,2.0
3702;-11910,1.0,0.0,0
3721;-12180,3.0,0.0,0
3733;-12217,1.0,1.0,0.0
4122;-12365,2.0,0.0,0
3411;-11787,22.0,0.0,0
3654;-12172,2.0,0.0,0
3390;-11782,1.0,0.0,0
3267;-11633,1.0,0.0,0
3520;-11892,5.0,0.0,0
3905;-12107,1.0,0.0,0
3615;-11862,2.0,0.0,0
3430;-11825,4.0,0.0,0
3695;-12202,88.0,18.0,22.0
3754;-11962,4.0,2.0,0.0
3413;-11835,1.0,0.0,0
3478;-11956,1.0,0.0,0
4058;-12110,3.0,3.0,5.0
3814;-12234,11.0,0.0,0
4150;-12407,2.0,0.0,0
3711;-11932,7.0,3.0,6.0
3290;-11662,1.0,0.0,0
3571;-11854,7.0,7.0,11.0
3816;-12121,1.0,0.0,0
3837;-12291,1.0,0.0,0
3799;-12035,1.0,0.0,0
3440;-11771,3.0,0.0,0
3407;-11708,1.0,0.0,0
3854;-12199,11.0,0.0,0
3488;-11464,1.0,0.0,0
3560;-12113,1.0,0.0,0
3742;-12214,2.0,0.0,0
3364;-11761,1.0,0.0,0
3488;-12027,4.0,0.0,0
3916;-12120,1.0,0.0,0
3796;-12225,32.0,8.0,15.0
3727;-12194,1.0,0.0,0
3981;-12088,1.0,0.0,0
3483;-11869,1.0,0.0,0
3769;-11974,18.0,17.0,23.0
3288;-11657,9.0,4.0,20.0
3708;-11931,25.0,23.0,62.0
3422;-11818,2.0,0.0,0
4030;-12100,1.0,0.0,0
3395;-11735,3.0,0.0,0
3258;-11711,8.0,0.0,0
3345;-11770,2.0,0.0,0
3922;-12127,1.0,0.0,0
3777;-12243,14.0,0.0,0
3647;-12173,15.0,13.0,39.0
3872;-11980,3.0,3.0,10.0
3493;-11864,6.0,0.0,0
3653;-12187,3.0,0.0,0
3406;-11828,2.0,0.0,0
3867;-12124,2.0,0.0,0
3268;-11724,336.0,0.0,0
3895;-12011,5.0,3.0,8.0
4131;-12280,2.0,0.0,0
3766;-12066,1.0,0.0,0
4167;-12206,1.0,0.0,0
3815;-11934,2.0,0.0,0
4042;-12066,2.0,2.0,11.0
3448;-11861,44.0,0.0,0
3861;-12133,1.0,0.0,0
3688;-12182,30.0,0.0,0
3406;-11710,1.0,0.0,0
3419;-11727,1.0,0.0,0
3513;-11845,2.0,0.0,0
3966;-12193,3.0,0.0,0
3440;-11968,66.0,0.0,0
3298;-11703,1.0,0.0,0
3720;-12183,1.0,0.0,0
3615;-11853,1.0,0.0,0
4131;-12230,8.0,4.0,16.0
3698;-12184,1.0,1.0,1.0
3784;-12225,3.0,1.0,1.0
3758;-12195,2.0,1.0,0.0
3961;-12048,333.0,147.0,251.0
3731;-12110,2.0,0.0,0
3441;-11982,156.0,0.0,0
3305;-11707,22.0,0.0,0
3852;-12326,1.0,0.0,0
3788;-12194,1.0,0.0,0
3841;-12148,1.0,0.0,0
4148;-12115,1.0,0.0,0
3381;-11791,6.0,0.0,0
3402;-11987,5.0,0.0,0
3410;-11874,1.0,0.0,0
3676;-11912,1.0,1.0,1.0
4035;-12021,1.0,0.0,0
